Previous_Sem_Mark,Attendance,Arrears_Count,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Media_Usage,Stress_Level,Internet_Access,Hostel_or_DayScholar,Travel_Time_Minutes,Part_Time_Job,Next_Sem_Mark,Result
50,51,1,4.0,4.4,Low,Low,Unlimited,DayScholar,78,No,33,Fail
95,89,5,6.2,3.8,Low,High,Limited,DayScholar,63,Yes,49,Pass
93,66,8,8.3,8.8,Medium,Medium,Limited,DayScholar,100,Yes,45,Pass
77,96,9,8.3,5.6,Low,Low,Limited,Hosteller,48,Yes,57,Pass
41,88,9,8.8,3.9,Medium,Low,Unlimited,DayScholar,88,No,24,Fail
98,96,1,7.9,7.3,High,Low,Limited,DayScholar,81,No,79,Pass
40,88,0,7.8,9.9,Medium,High,Unlimited,DayScholar,54,Yes,22,Fail
70,80,0,9.4,9.3,Medium,Medium,Limited,Hosteller,60,No,51,Pass
67,93,8,5.5,5.1,Low,High,Limited,DayScholar,38,No,40,Pass
46,90,1,7.6,8.8,Low,Low,Unlimited,Hosteller,22,No,53,Pass
72,79,3,5.2,6.1,Low,High,Unlimited,DayScholar,50,Yes,37,Pass
100,98,6,6.3,8.7,Medium,High,Limited,DayScholar,8,Yes,61,Pass
79,90,7,4.8,5.9,High,High,Limited,Hosteller,70,No,39,Pass
89,51,1,5.1,3.2,Medium,High,Limited,DayScholar,46,No,47,Pass
30,96,4,2.3,6.8,Low,Medium,Unlimited,Hosteller,46,No,23,Fail
88,69,8,6.2,9.8,Low,Medium,Limited,Hosteller,19,No,37,Pass
88,64,8,8.8,4.7,High,Low,Unlimited,DayScholar,22,No,46,Pass
84,77,0,9.4,7.4,Low,Medium,Unlimited,Hosteller,102,Yes,58,Pass
40,79,8,1.8,6.0,Low,Medium,Limited,DayScholar,98,No,21,Fail
99,52,3,0.7,4.5,High,Medium,Limited,Hosteller,71,No,49,Pass
50,52,8,9.7,7.7,Medium,Low,Unlimited,DayScholar,12,Yes,32,Fail
92,98,4,7.7,7.7,Low,Low,Unlimited,DayScholar,67,No,68,Pass
81,97,6,8.4,9.4,Low,High,Limited,DayScholar,32,No,44,Pass
40,80,10,1.5,6.6,Medium,Low,Limited,Hosteller,4,No,17,Fail
69,100,3,4.2,7.4,Medium,High,Unlimited,DayScholar,103,Yes,36,Pass
94,63,5,5.6,8.8,Medium,High,Unlimited,DayScholar,6,No,47,Pass
85,91,7,2.2,3.7,Medium,High,Unlimited,Hosteller,59,No,36,Pass
54,83,1,1.4,7.4,Medium,Medium,Unlimited,DayScholar,32,Yes,34,Fail
69,69,1,4.0,9.6,Low,Medium,Limited,DayScholar,103,No,42,Pass
83,76,1,4.0,4.0,Low,Medium,Limited,DayScholar,37,Yes,60,Pass
96,70,3,0.5,9.5,High,Low,Unlimited,Hosteller,42,Yes,38,Pass
36,66,2,5.5,3.4,Medium,Low,Limited,Hosteller,22,Yes,15,Fail
60,62,8,9.7,4.5,Medium,Low,Limited,DayScholar,104,No,37,Pass
31,85,9,6.6,3.9,High,Low,Unlimited,DayScholar,15,No,15,Fail
100,86,7,8.6,7.1,High,Low,Limited,DayScholar,28,No,71,Pass
82,50,4,8.3,5.8,Medium,Low,Unlimited,Hosteller,37,No,61,Pass
78,52,1,3.5,5.2,Low,Low,Limited,Hosteller,100,No,43,Pass
43,94,1,5.7,4.9,Medium,Low,Limited,Hosteller,6,No,33,Fail
79,89,10,5.2,5.2,Medium,Medium,Limited,Hosteller,84,No,42,Pass
66,99,2,3.7,3.5,Low,Medium,Unlimited,DayScholar,80,No,43,Pass
67,65,1,1.2,4.1,High,Low,Limited,DayScholar,13,No,37,Pass
66,91,0,9.3,5.6,Low,Low,Unlimited,DayScholar,75,No,57,Pass
83,76,10,4.0,5.0,Low,Medium,Limited,Hosteller,82,Yes,38,Pass
99,85,3,9.1,9.4,Medium,High,Limited,Hosteller,65,No,66,Pass
84,76,10,6.4,3.7,Low,Medium,Limited,Hosteller,51,No,47,Pass
83,82,2,5.3,5.0,High,High,Unlimited,DayScholar,31,Yes,43,Pass
98,79,7,2.3,7.6,Medium,Medium,Limited,DayScholar,107,Yes,43,Pass
32,69,4,7.0,6.1,Medium,Medium,Unlimited,Hosteller,48,Yes,10,Fail
49,80,4,9.9,4.2,Medium,High,Limited,Hosteller,80,No,28,Fail
59,91,9,9.8,5.8,Medium,Medium,Limited,DayScholar,44,No,44,Pass
36,91,1,1.6,4.2,High,Medium,Limited,Hosteller,67,Yes,12,Fail
55,85,1,9.0,6.4,High,Medium,Unlimited,DayScholar,106,Yes,34,Fail
88,78,4,3.3,8.9,Low,High,Unlimited,Hosteller,105,No,46,Pass
93,83,6,6.0,7.1,Medium,High,Unlimited,DayScholar,101,Yes,51,Pass
48,95,3,2.8,6.7,Low,Low,Unlimited,Hosteller,69,No,30,Fail
62,55,2,9.5,7.5,Low,Medium,Limited,DayScholar,112,No,43,Pass
93,88,7,7.1,8.5,Medium,Medium,Limited,DayScholar,41,No,65,Pass
50,78,6,7.8,7.1,Medium,High,Limited,DayScholar,1,No,35,Pass
54,93,5,3.5,8.3,Low,High,Unlimited,Hosteller,22,No,34,Fail
52,97,5,6.0,5.3,Low,Low,Unlimited,Hosteller,71,No,35,Pass
54,99,0,7.9,8.4,Medium,High,Unlimited,DayScholar,69,No,38,Pass
51,58,3,7.6,7.7,Low,Low,Unlimited,Hosteller,106,Yes,34,Fail
30,85,1,6.0,6.9,High,Medium,Limited,DayScholar,112,Yes,19,Fail
83,64,6,9.6,8.5,Medium,Low,Limited,Hosteller,86,Yes,39,Pass
89,86,10,5.7,8.6,High,Medium,Limited,DayScholar,21,Yes,49,Pass
38,100,1,8.4,4.5,High,Medium,Limited,DayScholar,57,Yes,23,Fail
98,68,3,8.8,8.2,Low,High,Unlimited,DayScholar,17,No,67,Pass
99,65,9,2.2,8.7,Low,High,Unlimited,DayScholar,94,No,36,Pass
55,74,0,5.0,8.9,Medium,Low,Unlimited,DayScholar,9,Yes,34,Fail
81,98,2,7.8,9.9,Medium,Medium,Limited,Hosteller,65,Yes,47,Pass
90,62,8,9.6,4.3,Low,High,Limited,DayScholar,93,No,49,Pass
67,52,6,5.1,6.6,Low,Low,Limited,DayScholar,81,Yes,35,Pass
60,79,9,8.9,7.8,Low,Low,Limited,DayScholar,78,Yes,43,Pass
60,86,4,8.9,4.1,Low,Low,Unlimited,DayScholar,25,Yes,51,Pass
93,77,3,1.1,8.8,Medium,Low,Limited,Hosteller,110,Yes,41,Pass
82,89,5,2.2,9.6,Medium,Low,Limited,Hosteller,84,Yes,39,Pass
72,97,1,8.3,8.4,Low,High,Unlimited,Hosteller,57,Yes,44,Pass
96,99,2,7.2,8.2,Low,High,Limited,DayScholar,107,No,69,Pass
90,84,0,0.5,6.0,High,Medium,Unlimited,DayScholar,100,No,42,Pass
84,81,4,2.2,9.8,High,Medium,Limited,DayScholar,60,No,35,Pass
64,62,4,4.5,7.7,Low,High,Limited,DayScholar,12,No,38,Pass
92,50,2,7.4,8.2,Low,Medium,Limited,Hosteller,28,Yes,65,Pass
37,85,5,8.2,4.3,Low,High,Limited,Hosteller,2,Yes,28,Fail
81,67,9,9.8,7.4,Medium,Medium,Limited,DayScholar,46,No,52,Pass
42,63,1,1.2,4.9,Medium,Medium,Unlimited,Hosteller,4,No,17,Fail
40,83,7,0.8,5.1,Low,Medium,Limited,Hosteller,34,Yes,15,Fail
51,79,0,5.3,8.7,Low,High,Unlimited,Hosteller,75,No,39,Pass
92,64,3,6.8,4.8,High,Low,Unlimited,DayScholar,69,Yes,36,Pass
53,72,4,8.2,9.8,Low,Low,Limited,DayScholar,117,No,31,Fail
86,69,4,3.6,8.6,Medium,High,Limited,Hosteller,47,No,35,Pass
98,97,7,3.8,5.4,Medium,High,Limited,Hosteller,91,No,44,Pass
40,57,0,8.9,4.7,High,Low,Unlimited,DayScholar,85,No,22,Fail
83,96,8,8.7,5.2,Low,Medium,Limited,DayScholar,36,No,56,Pass
74,62,5,7.4,6.4,Medium,Medium,Unlimited,Hosteller,77,Yes,36,Pass
70,76,3,9.8,5.5,High,Low,Limited,Hosteller,66,No,53,Pass
86,90,10,3.1,5.1,Low,Low,Limited,Hosteller,78,Yes,48,Pass
57,78,0,6.4,5.4,High,High,Limited,Hosteller,1,No,42,Pass
73,86,6,4.6,7.2,Medium,Low,Unlimited,Hosteller,86,No,45,Pass
46,59,7,5.1,4.0,Low,Low,Unlimited,DayScholar,65,Yes,21,Fail
76,83,3,5.3,4.5,Medium,Low,Unlimited,Hosteller,51,Yes,41,Pass
38,80,5,7.5,9.4,Medium,High,Unlimited,Hosteller,34,No,16,Fail
46,53,1,8.6,9.9,Medium,Medium,Unlimited,DayScholar,97,No,30,Fail
99,58,10,2.1,9.3,Low,High,Unlimited,DayScholar,50,Yes,38,Pass
93,77,10,1.8,7.6,Low,Low,Limited,DayScholar,70,No,49,Pass
32,72,0,8.4,4.2,Low,Medium,Unlimited,DayScholar,118,No,28,Fail
82,54,2,9.3,9.5,Medium,Low,Unlimited,Hosteller,100,Yes,41,Pass
54,80,10,8.4,6.0,Low,Low,Limited,Hosteller,53,No,33,Fail
79,54,4,8.3,6.8,Low,High,Unlimited,Hosteller,100,No,46,Pass
88,91,3,2.5,6.9,High,Medium,Unlimited,Hosteller,51,No,51,Pass
39,91,0,1.8,3.4,High,Low,Unlimited,DayScholar,20,No,15,Fail
47,79,5,5.1,6.3,Low,Medium,Limited,Hosteller,46,Yes,27,Fail
92,100,7,1.4,9.6,Medium,Medium,Limited,Hosteller,58,Yes,43,Pass
82,54,9,7.6,4.4,Medium,High,Unlimited,DayScholar,6,No,42,Pass
35,94,6,7.2,8.2,High,Low,Unlimited,DayScholar,110,Yes,11,Fail
92,56,2,5.9,5.3,Medium,Low,Limited,DayScholar,59,No,55,Pass
94,88,9,9.7,4.7,Medium,Medium,Unlimited,DayScholar,117,No,66,Pass
77,70,6,9.9,9.2,Low,Low,Limited,DayScholar,59,Yes,46,Pass
86,52,2,2.4,9.0,High,Low,Limited,Hosteller,115,Yes,40,Pass
72,76,1,8.5,7.1,Medium,Low,Limited,DayScholar,53,No,57,Pass
48,84,6,5.8,8.6,Medium,Low,Limited,DayScholar,63,No,27,Fail
95,67,6,3.1,6.8,Low,Low,Unlimited,DayScholar,95,Yes,39,Pass
91,50,2,8.6,9.0,Medium,High,Unlimited,Hosteller,13,No,48,Pass
93,74,1,5.7,9.2,Low,High,Limited,Hosteller,11,Yes,50,Pass
93,87,6,3.2,9.7,Low,Medium,Limited,Hosteller,15,No,60,Pass
38,76,3,3.9,6.5,Low,Medium,Limited,Hosteller,17,No,23,Fail
100,50,7,5.8,5.6,High,Low,Limited,Hosteller,87,No,41,Pass
79,68,2,3.7,6.0,Low,Medium,Unlimited,Hosteller,78,Yes,40,Pass
42,96,4,8.4,4.0,Low,High,Limited,DayScholar,6,Yes,22,Fail
100,86,10,2.8,5.1,High,Medium,Limited,Hosteller,60,No,53,Pass
80,65,1,9.5,9.0,High,High,Unlimited,DayScholar,111,No,49,Pass
84,77,3,6.7,5.7,Medium,High,Limited,DayScholar,9,No,63,Pass
75,59,8,8.5,5.2,High,Low,Limited,Hosteller,46,No,36,Pass
74,83,3,7.6,4.6,Low,Medium,Limited,Hosteller,117,No,52,Pass
100,72,1,1.1,9.1,Medium,High,Limited,DayScholar,31,Yes,36,Pass
31,82,7,8.4,4.0,Low,Low,Limited,Hosteller,103,No,21,Fail
66,68,0,6.3,7.9,Low,Medium,Limited,Hosteller,10,No,39,Pass
87,97,10,3.8,7.4,Medium,Medium,Limited,DayScholar,15,Yes,50,Pass
96,68,9,0.7,5.0,Low,Medium,Unlimited,Hosteller,23,Yes,39,Pass
61,77,2,6.7,4.2,Low,Medium,Limited,Hosteller,55,Yes,51,Pass
33,96,0,3.4,6.7,Low,Low,Limited,Hosteller,74,Yes,21,Fail
61,77,5,7.6,9.2,Low,Medium,Unlimited,DayScholar,8,No,39,Pass
50,63,1,2.8,6.1,Low,Low,Unlimited,Hosteller,4,No,30,Fail
76,95,8,8.3,6.0,Low,High,Limited,DayScholar,113,Yes,48,Pass
82,94,7,4.9,6.7,Low,Low,Unlimited,Hosteller,72,No,55,Pass
84,93,8,7.3,6.8,High,High,Limited,DayScholar,27,Yes,39,Pass
81,77,9,4.3,4.6,High,Medium,Limited,DayScholar,90,No,35,Pass
35,94,1,5.1,6.8,Low,High,Unlimited,DayScholar,102,Yes,12,Fail
85,91,3,7.8,3.6,High,High,Limited,Hosteller,4,Yes,47,Pass
84,82,0,2.1,8.2,Low,High,Unlimited,DayScholar,89,No,56,Pass
38,97,1,8.4,7.6,High,Medium,Unlimited,DayScholar,110,No,21,Fail
90,58,4,7.4,5.7,High,Medium,Unlimited,DayScholar,14,No,43,Pass
97,77,3,5.7,9.3,High,High,Limited,DayScholar,84,Yes,51,Pass
80,85,8,5.0,4.8,High,Low,Limited,Hosteller,73,No,49,Pass
94,91,2,4.8,3.4,Medium,Low,Limited,DayScholar,6,No,73,Pass
37,57,5,7.6,7.3,Low,High,Unlimited,Hosteller,32,No,14,Fail
92,55,7,6.3,4.9,Low,Medium,Unlimited,Hosteller,99,No,50,Pass
99,82,4,1.7,5.7,High,Medium,Unlimited,DayScholar,21,No,59,Pass
52,87,0,9.0,7.0,Low,High,Unlimited,DayScholar,69,No,44,Pass
74,88,0,8.1,7.8,High,High,Limited,DayScholar,11,Yes,47,Pass
34,97,1,1.3,4.5,Medium,High,Limited,DayScholar,4,No,13,Fail
96,82,8,4.9,4.3,Medium,Medium,Unlimited,Hosteller,42,Yes,58,Pass
95,99,4,3.2,4.4,Low,High,Unlimited,DayScholar,69,Yes,58,Pass
91,74,0,1.6,7.0,Low,Medium,Limited,Hosteller,20,Yes,55,Pass
92,82,2,5.1,6.8,Low,High,Unlimited,DayScholar,5,No,67,Pass
59,92,3,5.2,4.9,Medium,Medium,Limited,Hosteller,29,No,43,Pass
48,54,4,2.3,7.9,Low,Low,Unlimited,DayScholar,30,Yes,25,Fail
90,82,6,9.2,5.2,Low,Medium,Unlimited,DayScholar,23,Yes,62,Pass
95,91,7,0.2,6.8,Low,High,Limited,DayScholar,19,Yes,53,Pass
85,92,1,5.6,5.3,Medium,Medium,Limited,Hosteller,30,Yes,52,Pass
62,98,5,8.2,5.8,Medium,High,Unlimited,Hosteller,102,Yes,36,Pass
34,94,6,1.6,6.7,Low,Low,Limited,Hosteller,81,Yes,9,Fail
97,85,3,2.4,9.8,Low,High,Limited,DayScholar,21,Yes,52,Pass
69,83,10,7.6,6.4,Medium,Low,Unlimited,DayScholar,1,No,55,Pass
83,88,8,3.7,8.1,Low,Low,Limited,DayScholar,5,No,49,Pass
99,58,6,2.4,6.9,Low,Medium,Unlimited,Hosteller,86,Yes,37,Pass
36,79,3,9.1,9.3,Low,High,Limited,Hosteller,79,No,16,Fail
92,90,2,6.2,3.7,Low,High,Unlimited,DayScholar,104,Yes,45,Pass
30,90,0,9.9,6.1,Medium,High,Limited,Hosteller,60,No,33,Fail
90,94,0,4.1,9.1,Low,Medium,Limited,Hosteller,25,Yes,56,Pass
100,88,0,7.9,6.6,Medium,Medium,Unlimited,DayScholar,74,No,79,Pass
89,93,2,9.7,4.7,High,Low,Limited,Hosteller,57,Yes,62,Pass
96,88,0,0.5,6.1,Medium,Medium,Limited,DayScholar,113,No,58,Pass
95,94,2,6.0,4.6,Medium,Medium,Unlimited,Hosteller,32,No,76,Pass
100,55,2,7.0,4.4,Medium,Medium,Unlimited,Hosteller,56,Yes,65,Pass
38,89,8,3.3,6.1,Medium,Low,Unlimited,DayScholar,25,No,18,Fail
80,70,0,7.6,8.6,Low,Medium,Limited,DayScholar,89,Yes,55,Pass
79,78,2,3.3,6.0,Medium,Medium,Limited,DayScholar,53,No,45,Pass
39,78,2,8.9,8.3,Low,Medium,Limited,Hosteller,72,No,28,Fail
96,80,2,6.3,3.3,Medium,Medium,Limited,DayScholar,83,No,56,Pass
78,82,8,9.4,8.5,High,Low,Unlimited,DayScholar,81,No,53,Pass
97,68,2,8.6,9.4,Medium,Medium,Limited,Hosteller,8,Yes,61,Pass
98,89,3,7.8,3.9,Medium,Medium,Limited,Hosteller,16,No,76,Pass
99,88,0,1.4,7.4,Low,Medium,Limited,DayScholar,104,Yes,54,Pass
86,65,6,6.5,7.8,High,Low,Unlimited,Hosteller,3,No,42,Pass
67,91,6,6.7,3.0,Low,Medium,Unlimited,Hosteller,64,No,43,Pass
32,60,4,5.2,7.5,Medium,Medium,Unlimited,Hosteller,92,Yes,7,Fail
97,54,0,0.8,6.8,Medium,Medium,Unlimited,Hosteller,8,Yes,54,Pass
46,100,6,7.3,7.5,Low,Medium,Limited,DayScholar,116,Yes,25,Fail
85,95,8,7.5,7.9,Medium,High,Unlimited,DayScholar,109,No,53,Pass
90,95,4,6.0,5.0,Low,Medium,Unlimited,DayScholar,51,No,59,Pass
98,74,8,9.7,9.6,Medium,Low,Unlimited,DayScholar,2,No,52,Pass
83,50,5,7.1,5.9,Medium,Medium,Unlimited,DayScholar,25,Yes,47,Pass
79,85,6,9.8,6.8,High,High,Limited,Hosteller,15,Yes,48,Pass
78,81,4,5.6,7.7,Low,High,Limited,DayScholar,75,No,50,Pass
78,84,0,5.5,8.9,Medium,Low,Unlimited,Hosteller,106,No,53,Pass
92,54,6,5.6,3.4,Medium,High,Unlimited,DayScholar,40,Yes,35,Pass
34,85,3,3.5,4.2,Low,High,Unlimited,Hosteller,7,Yes,15,Fail
84,53,8,6.5,7.5,Low,Low,Limited,DayScholar,23,Yes,44,Pass
31,71,2,9.8,8.6,Medium,Low,Limited,Hosteller,33,No,21,Fail
95,70,0,7.0,9.2,Low,Low,Limited,Hosteller,94,Yes,53,Pass
72,62,6,0.2,4.3,Low,Low,Limited,DayScholar,47,No,36,Pass
79,72,6,1.7,6.5,High,Low,Limited,Hosteller,19,No,39,Pass
56,50,6,8.9,5.4,Low,Low,Limited,Hosteller,107,Yes,31,Fail
100,53,3,8.4,4.6,High,Medium,Unlimited,DayScholar,27,Yes,56,Pass
77,86,4,6.1,5.9,Medium,Medium,Unlimited,DayScholar,101,Yes,48,Pass
89,88,5,9.0,8.6,Low,High,Unlimited,DayScholar,37,Yes,62,Pass
86,88,2,0.9,5.4,Medium,Medium,Unlimited,DayScholar,32,No,53,Pass
91,93,10,8.0,5.7,Low,High,Limited,Hosteller,16,No,50,Pass
35,80,4,10.0,3.9,High,Medium,Limited,Hosteller,115,No,12,Fail
52,79,1,6.2,5.4,Low,High,Unlimited,DayScholar,37,No,45,Pass
87,70,1,1.1,8.6,Low,Low,Unlimited,Hosteller,81,No,39,Pass
93,97,4,9.4,5.8,Medium,High,Limited,DayScholar,65,Yes,50,Pass
90,51,0,7.1,5.6,Medium,High,Unlimited,DayScholar,6,No,53,Pass
47,83,5,8.3,4.5,High,High,Limited,Hosteller,12,Yes,24,Fail
95,93,1,6.2,9.8,Low,High,Limited,DayScholar,82,Yes,61,Pass
60,95,0,2.6,7.9,High,Low,Unlimited,DayScholar,28,Yes,37,Pass
81,67,8,6.3,5.6,Low,Low,Limited,DayScholar,24,Yes,41,Pass
86,59,6,3.4,5.9,Low,Low,Limited,DayScholar,68,No,40,Pass
77,90,5,4.8,5.9,High,Medium,Limited,DayScholar,13,No,40,Pass
98,79,4,6.4,9.8,High,Medium,Unlimited,DayScholar,80,Yes,43,Pass
97,56,6,3.1,3.3,Low,High,Unlimited,DayScholar,7,No,45,Pass
99,56,9,8.0,5.9,High,Low,Limited,Hosteller,39,Yes,40,Pass
47,62,7,7.7,7.5,Low,Medium,Limited,DayScholar,12,No,25,Fail
67,83,4,8.8,6.0,High,Medium,Unlimited,DayScholar,45,Yes,40,Pass
99,52,4,3.1,4.9,Low,Low,Limited,Hosteller,10,No,63,Pass
93,54,4,9.7,4.0,High,High,Unlimited,DayScholar,21,Yes,52,Pass
39,78,3,1.0,5.0,Medium,Low,Unlimited,DayScholar,16,No,31,Fail
50,86,8,6.6,9.4,Low,Low,Unlimited,DayScholar,114,Yes,26,Fail
59,76,2,8.1,9.4,Low,High,Limited,DayScholar,111,No,38,Pass
98,77,9,1.4,8.6,High,Low,Limited,Hosteller,102,No,51,Pass
90,58,2,1.0,3.3,High,Low,Limited,Hosteller,9,No,44,Pass
78,68,2,5.3,5.1,High,Medium,Limited,Hosteller,21,No,47,Pass
76,76,8,7.1,9.4,Medium,Medium,Unlimited,Hosteller,113,Yes,35,Pass
76,77,1,9.4,8.5,Low,High,Unlimited,Hosteller,71,Yes,50,Pass
43,80,0,9.0,7.4,Medium,Low,Limited,DayScholar,44,Yes,42,Pass
34,99,8,4.7,6.5,High,Low,Limited,DayScholar,27,Yes,11,Fail
99,63,1,0.5,7.2,Medium,Medium,Limited,DayScholar,49,No,52,Pass
88,97,3,7.9,7.3,Medium,High,Limited,Hosteller,105,Yes,57,Pass
75,79,9,4.5,6.5,Medium,Low,Limited,DayScholar,105,Yes,38,Pass
91,84,1,9.9,8.1,High,High,Limited,Hosteller,25,Yes,66,Pass
80,96,2,3.9,8.3,High,Medium,Limited,DayScholar,15,No,47,Pass
92,60,0,7.1,7.9,Low,High,Limited,DayScholar,73,Yes,45,Pass
95,67,1,6.7,9.6,Medium,Low,Unlimited,DayScholar,84,Yes,59,Pass
79,82,5,7.8,5.3,Low,Medium,Unlimited,DayScholar,45,Yes,61,Pass
59,86,5,9.2,8.0,Medium,High,Limited,Hosteller,103,Yes,37,Pass
98,56,9,8.9,6.0,Medium,Medium,Limited,DayScholar,77,No,54,Pass
68,73,1,6.2,4.8,Medium,Low,Limited,DayScholar,60,No,37,Pass
98,84,1,9.9,4.8,High,High,Unlimited,Hosteller,3,No,70,Pass
89,54,4,1.5,5.6,Low,Low,Unlimited,Hosteller,78,Yes,41,Pass
73,67,2,9.8,8.7,Medium,High,Unlimited,Hosteller,119,Yes,37,Pass
93,75,8,8.8,7.5,Medium,High,Limited,DayScholar,41,No,57,Pass
56,85,5,8.5,9.3,Low,High,Limited,DayScholar,39,No,42,Pass
53,92,8,9.7,8.3,Medium,Medium,Limited,DayScholar,42,No,39,Pass
79,50,8,5.5,5.4,Medium,Medium,Limited,Hosteller,71,No,35,Pass
97,66,1,3.9,4.7,Medium,High,Unlimited,DayScholar,60,Yes,53,Pass
92,83,8,5.7,3.9,Low,Low,Unlimited,Hosteller,64,Yes,51,Pass
80,60,7,7.0,4.1,Medium,Low,Limited,DayScholar,52,No,48,Pass
88,77,6,9.0,3.8,High,Medium,Unlimited,Hosteller,88,Yes,46,Pass
46,98,0,8.3,5.4,Low,High,Unlimited,Hosteller,5,Yes,31,Fail
84,88,6,5.0,7.8,Medium,High,Unlimited,DayScholar,39,Yes,49,Pass
35,96,4,5.7,6.3,Medium,Medium,Unlimited,Hosteller,15,Yes,26,Fail
88,60,6,8.7,7.1,Low,Low,Limited,Hosteller,106,Yes,57,Pass
98,95,5,2.0,7.8,Low,Low,Limited,Hosteller,35,Yes,63,Pass
93,76,7,8.4,3.3,Low,Medium,Unlimited,DayScholar,80,No,62,Pass
76,97,7,5.1,4.2,Medium,Medium,Limited,Hosteller,103,No,37,Pass
76,89,5,10.0,5.6,High,Medium,Limited,DayScholar,56,Yes,50,Pass
31,58,2,6.0,6.1,Low,Low,Unlimited,Hosteller,78,No,8,Fail
41,91,0,8.1,5.3,Medium,Low,Limited,Hosteller,11,Yes,32,Fail
72,90,4,8.9,4.8,High,Low,Unlimited,Hosteller,111,Yes,47,Pass
72,87,1,7.0,6.7,Low,Medium,Unlimited,Hosteller,112,Yes,45,Pass
46,92,4,9.9,7.7,High,Medium,Unlimited,Hosteller,42,No,33,Fail
95,97,7,8.5,7.2,High,Low,Unlimited,Hosteller,63,No,58,Pass
30,63,6,7.3,4.6,Low,Low,Unlimited,Hosteller,36,No,10,Fail
54,55,1,9.1,5.2,Low,Medium,Unlimited,DayScholar,51,Yes,36,Pass
79,53,2,3.9,8.2,Medium,Low,Unlimited,Hosteller,19,No,41,Pass
32,93,1,5.6,6.5,Medium,High,Unlimited,Hosteller,24,Yes,9,Fail
69,97,6,8.8,9.9,Medium,Low,Limited,DayScholar,23,No,58,Pass
92,69,4,3.0,5.3,High,Low,Unlimited,DayScholar,36,No,35,Pass
51,78,5,8.8,8.2,Low,High,Unlimited,DayScholar,1,No,35,Pass
72,80,0,1.5,6.9,Medium,Medium,Unlimited,Hosteller,31,Yes,48,Pass
80,61,1,7.5,4.5,Medium,High,Unlimited,Hosteller,2,No,49,Pass
55,53,0,4.1,3.1,Medium,Low,Unlimited,Hosteller,47,No,30,Fail
86,54,6,9.9,5.6,Low,Medium,Limited,DayScholar,24,No,64,Pass
98,77,6,6.3,3.0,Medium,Low,Unlimited,DayScholar,71,Yes,60,Pass
61,97,6,9.6,4.9,High,Low,Limited,Hosteller,6,Yes,42,Pass
44,87,1,6.3,8.8,Low,Medium,Limited,Hosteller,105,Yes,27,Fail
55,88,4,8.2,5.0,High,Low,Limited,Hosteller,33,No,40,Pass
45,53,0,8.5,7.4,Low,High,Limited,DayScholar,65,No,35,Pass
86,96,2,0.5,6.7,Low,High,Unlimited,DayScholar,74,Yes,37,Pass
98,99,5,7.5,6.8,Medium,Low,Unlimited,Hosteller,58,No,79,Pass
68,81,2,8.3,4.5,High,Low,Unlimited,Hosteller,44,No,43,Pass
88,80,10,2.1,8.1,Low,Medium,Unlimited,Hosteller,63,Yes,41,Pass
100,82,8,7.8,3.4,Medium,Medium,Unlimited,DayScholar,80,Yes,51,Pass
88,70,8,5.9,9.5,Low,High,Limited,Hosteller,32,No,36,Pass
76,93,10,7.8,8.0,Low,Medium,Unlimited,Hosteller,42,Yes,44,Pass
81,98,1,1.6,5.5,Low,High,Unlimited,Hosteller,8,Yes,50,Pass
97,75,9,2.5,4.9,High,High,Unlimited,Hosteller,77,No,37,Pass
90,97,3,9.4,3.9,Medium,High,Unlimited,Hosteller,110,No,57,Pass
85,80,9,3.8,3.3,High,Medium,Unlimited,Hosteller,62,No,38,Pass
35,96,4,4.6,8.6,Medium,Low,Unlimited,DayScholar,50,No,17,Fail
36,60,2,9.5,9.8,Medium,Low,Limited,Hosteller,15,Yes,21,Fail
91,73,9,7.0,8.2,Medium,High,Unlimited,DayScholar,3,No,50,Pass
85,77,3,4.3,4.7,Low,Medium,Limited,DayScholar,2,No,71,Pass
95,75,4,4.3,7.1,Medium,High,Limited,Hosteller,114,No,54,Pass
78,97,2,8.5,4.5,Low,Medium,Limited,Hosteller,19,Yes,63,Pass
58,60,4,8.2,8.4,Low,Low,Limited,Hosteller,3,Yes,36,Pass
77,98,8,3.0,7.7,High,Low,Limited,Hosteller,33,No,42,Pass
95,77,10,6.0,8.0,Low,Medium,Limited,DayScholar,16,Yes,54,Pass
93,75,8,5.4,8.1,Medium,Medium,Limited,DayScholar,48,No,66,Pass
43,58,4,7.9,8.1,Low,Low,Limited,DayScholar,54,No,24,Fail
37,83,6,4.4,7.2,Low,Low,Unlimited,Hosteller,36,Yes,17,Fail
54,100,8,8.6,5.8,Medium,High,Unlimited,DayScholar,61,No,34,Fail
72,97,5,3.0,8.4,Low,Medium,Limited,Hosteller,68,No,42,Pass
66,79,0,9.2,4.9,Low,Medium,Unlimited,Hosteller,15,Yes,65,Pass
32,85,4,1.4,8.7,Low,High,Limited,DayScholar,8,Yes,12,Fail
88,56,9,8.0,9.0,Medium,Medium,Limited,DayScholar,119,No,51,Pass
75,87,0,8.2,6.0,Medium,High,Unlimited,DayScholar,50,No,54,Pass
95,69,4,4.6,6.4,Low,Medium,Limited,DayScholar,42,No,54,Pass
34,79,5,3.1,4.5,High,Medium,Unlimited,Hosteller,44,Yes,9,Fail
98,73,2,3.5,4.5,High,Low,Unlimited,DayScholar,111,Yes,46,Pass
