sem1,sem2,sem3,sem4,sem5,attendance,arrears_count,study_hours,sleep_hours,social_media,stress_level,internet_access,residence,travel_time,part_time_job,final_percentage
94,99,60,48,60,53,1,5.8171362686189205,4.9367786719953415,2,1,0,1,62,1,72.2
94,81,43,39,70,60,4,5.76283724395545,4.243359269800221,2,0,1,1,25,0,63.400000000000006
74,91,72,83,76,66,1,6.4798849633946585,6.5593227083727665,1,1,0,0,25,0,81.2
25,79,52,32,20,95,0,5.30876166513078,5.212175239799212,2,0,1,1,59,0,37.6
47,50,28,82,25,82,4,5.01271893832775,6.1226856511954155,2,2,1,0,79,1,42.4
32,98,39,91,87,78,3,7.245073880371211,4.293330018768543,2,0,1,0,34,0,70.4
72,25,14,94,81,85,3,7.304549767757004,8.103059564210767,2,2,0,1,31,0,59.2
69,71,89,47,49,81,0,4.027250437003747,4.23313248369312,1,0,0,1,8,1,65.0
35,66,71,91,84,62,0,1.1367892385559373,7.195891446665399,0,1,1,0,52,0,69.4
36,54,20,52,27,67,1,3.196703598549818,6.1651790858993705,0,0,0,0,108,1,36.8
24,41,36,68,97,60,1,3.053773796408972,6.720162782956075,1,2,1,1,15,1,53.2
49,81,50,12,88,81,4,3.27309530397294,6.572320465758581,2,0,0,0,5,0,55.0
26,18,82,62,98,56,1,5.31454848485411,4.166504967190614,1,1,1,1,11,0,56.2
37,59,73,88,38,87,1,6.814430916454545,7.091633369848057,2,1,1,1,47,0,60.0
79,92,21,71,84,63,3,6.184116757217711,7.91520511584158,0,2,0,0,43,0,70.4
24,64,36,28,96,64,0,1.5598829470353208,5.0043811088409225,1,1,0,0,6,1,51.6
69,20,36,72,46,71,1,5.618109547895193,6.40776200981562,1,2,0,1,96,0,52.6
57,22,91,83,75,81,4,7.028934098959069,8.97856029811604,1,2,1,1,92,1,68.6
62,67,20,62,53,86,4,3.783810204475621,5.991250410864246,0,0,0,1,101,0,52.8
80,55,11,84,60,83,3,1.2269594773659156,4.138250875855254,2,2,1,1,50,0,59.0
88,92,65,43,27,64,4,3.805993578400068,8.597634308045958,2,1,0,1,63,1,59.0
91,22,77,29,47,70,3,1.7409040906918831,4.295474556007051,2,2,0,0,92,1,50.2
41,74,54,43,84,73,1,2.7744946777910706,6.831329342979526,0,0,0,0,24,1,54.2
72,25,30,49,15,57,4,3.968844341678322,7.307254152428737,0,0,1,0,51,1,41.2
95,62,80,11,79,77,3,7.942614245743469,6.289346628739938,0,2,1,0,63,1,67.4
77,27,10,62,62,76,0,4.501287900439889,8.240602043481392,1,2,1,0,17,0,51.6
62,56,86,63,35,84,4,7.537731868146126,8.27833109712292,2,0,1,0,38,1,61.4
85,22,76,45,41,76,1,3.37766756355741,7.543994091061394,1,1,0,1,31,0,54.8
63,53,77,16,28,87,4,6.5637826898943565,6.343450899069582,2,2,0,0,15,0,49.4
92,97,89,69,39,70,2,7.223067336599075,7.906483833380392,2,0,1,0,36,0,75.2
26,53,92,44,26,91,1,1.6045233759597206,5.5360715441434145,1,2,1,0,115,1,45.2
56,14,81,99,58,76,3,3.0699912795996704,8.606232464856193,2,0,1,0,7,0,60.6
32,99,42,47,44,70,2,6.0213867869178355,4.251460616596395,1,2,1,0,74,1,56.8
67,14,33,71,92,55,1,6.9310734402413425,5.94120783035549,0,0,1,1,60,1,57.4
13,40,22,88,18,70,2,6.569111405074936,8.200452702286055,0,2,1,0,9,0,34.2
35,63,50,33,42,65,0,7.763913930649052,7.052746225628592,2,1,1,0,58,1,40.6
66,57,91,30,20,81,4,4.696429426010573,6.485180048949109,1,2,1,1,19,0,48.8
59,75,26,65,30,52,1,7.413177185092896,7.066545078741736,1,2,1,1,9,1,53.0
52,59,80,22,16,78,3,4.490295528702774,5.48088802275939,1,2,1,0,60,1,48.8
80,15,11,48,30,85,3,1.9708948020238233,5.881561844042762,2,0,0,0,76,0,37.8
14,20,35,52,94,66,0,3.7230294586827073,4.150436441300238,0,0,1,0,11,0,42.0
85,40,98,10,55,59,4,1.654166215269664,8.151254625025711,1,0,1,1,22,0,58.6
55,11,46,43,77,62,1,4.816210891329169,7.918635187090924,2,0,0,0,5,1,42.4
93,83,79,61,46,85,4,4.45001799195764,8.44494224719265,1,2,1,0,86,1,74.4
73,22,54,81,74,92,3,4.208073202104464,5.863725909563599,0,0,1,1,116,0,55.8
78,45,48,20,67,58,2,4.570189512392732,4.34062672576311,0,1,0,0,91,1,46.6
82,71,20,11,17,62,3,3.32375106412912,8.42066110993725,0,0,1,0,95,0,36.2
23,52,58,51,98,78,3,2.796397367150233,8.054298351708319,2,2,1,1,91,1,57.4
69,16,82,89,58,87,4,2.79298719460901,4.8895568413507835,2,2,1,1,22,0,61.8
68,28,24,22,13,59,1,7.456673499372613,4.122026369856563,1,0,0,0,29,0,28.0
72,43,79,77,39,70,2,3.347558315690005,4.790141332665952,1,2,1,0,42,0,58.0
98,40,77,73,50,56,2,5.53678864304784,8.94853846217767,1,0,1,0,80,0,66.6
39,74,74,68,25,64,4,4.067383263656778,7.870462597442279,1,1,1,0,40,1,55.0
50,30,84,39,80,78,1,4.074803440415399,7.087033534672822,2,2,0,0,26,0,58.6
24,90,24,80,74,58,3,7.149305547657558,5.16389702919769,2,0,0,1,40,1,53.4
85,21,43,52,46,50,2,2.4281405460160763,5.278600948775993,0,0,1,1,30,1,48.4
19,86,73,72,88,70,3,4.856544416113316,6.979237302204163,2,2,0,1,11,0,68.6
58,64,30,56,95,97,4,1.12796331783007,8.290713106878718,2,1,0,0,80,1,55.6
54,51,23,22,79,64,4,5.379968142626842,6.865591214040101,0,0,1,0,112,0,43.8
87,37,50,16,22,90,4,3.680458220367667,8.249878917680192,1,0,0,1,56,1,39.4
71,37,57,36,30,59,2,5.284180510283488,4.327732263505692,1,0,0,0,5,1,48.2
89,95,58,59,46,55,2,5.939157348694195,8.913627700769545,0,1,1,1,24,1,68.4
47,35,56,59,21,63,1,1.610483577594408,4.0868619861194295,1,0,0,0,108,1,44.6
54,65,35,15,65,70,3,3.297672665353292,7.927828260966127,0,1,1,0,112,1,43.8
47,23,30,61,45,94,2,7.413831703365665,7.641486019646195,1,2,1,0,60,1,44.2
41,16,35,36,96,86,4,6.730467185823572,4.053645166729826,0,0,0,0,78,0,45.8
99,97,67,23,17,78,1,5.119294599165758,4.595174266874984,0,2,0,0,53,0,57.6
72,15,69,98,79,62,4,4.93805045529753,8.389286465449878,1,1,0,0,94,0,69.6
55,68,87,20,24,62,4,3.9824750191188345,8.846426956136328,0,0,0,0,109,0,47.8
78,13,11,49,80,50,0,3.046981200162852,7.382363546110273,0,0,0,0,52,1,49.2
66,39,79,75,42,95,3,5.529532240211083,7.334191725188253,1,0,1,1,32,0,56.2
74,15,71,99,87,77,4,5.6186219324201065,5.405625001656063,2,1,1,1,19,1,68.2
90,33,18,86,21,65,4,7.729428869988311,7.537050712384806,0,0,0,1,63,0,50.6
93,19,44,40,19,83,4,3.9004416999327973,6.0464986647432575,0,0,1,1,55,0,42.0
32,25,89,13,38,98,1,7.88133591910813,4.861481255632649,0,0,1,1,74,0,42.4
21,15,42,38,33,64,4,2.6941174030757358,6.912590875176082,2,0,1,0,46,1,27.8
16,75,28,47,19,61,3,1.9345420877093171,7.357004064105963,1,2,1,0,79,0,38.0
13,33,64,73,32,54,0,1.6346376061536416,8.68375671054268,2,1,1,0,84,0,44.0
75,52,18,63,17,70,4,2.5284151520166156,5.2551189960865194,2,0,0,1,119,1,45.0
89,85,82,54,67,66,3,6.086941156603409,4.445960779687706,2,0,0,1,27,0,77.4
99,86,11,17,77,65,4,7.86049154224181,4.099226855505153,0,0,1,0,102,0,54.0
99,61,60,83,79,96,4,6.500152428547587,4.941511813573762,2,2,0,0,20,0,75.4
62,76,52,44,99,84,0,5.717480658402225,5.065292392049507,2,2,1,0,55,0,69.6
76,76,26,33,13,98,0,7.979106775256726,8.938048233118417,2,2,1,0,34,1,39.8
77,60,77,49,15,51,0,2.112519897928981,8.278402566858032,0,1,1,1,62,0,52.6
85,10,32,52,36,80,4,4.58242617429983,4.43802493952679,1,0,1,0,13,0,41.0
63,18,88,67,80,94,1,2.0540127336635248,7.192864239556377,1,2,0,1,33,0,65.2
69,97,14,68,10,68,1,2.1102716161652726,7.429399976323232,0,0,0,1,7,1,54.6
24,33,56,12,68,95,1,3.692742731379207,8.504892181578025,2,0,1,0,15,1,42.6
51,57,66,48,12,82,0,1.1157958362819074,7.424157632843862,0,1,1,1,56,1,41.8
13,20,21,19,88,97,0,5.399303863756229,7.833296057328626,1,2,1,0,57,1,32.2
83,92,94,12,13,81,1,1.9881304120065084,4.757357341357987,0,0,1,1,16,1,61.8
94,17,61,75,39,93,3,3.917412325298799,5.373342179172297,2,1,1,0,63,1,60.2
19,36,65,16,90,78,0,4.37527758754615,4.677293292164632,1,1,0,0,99,0,47.2
34,21,40,51,26,65,2,1.0989301919259225,7.824113695212655,0,0,1,0,106,1,29.4
65,93,81,98,36,59,4,4.050853710094784,7.788959846098203,1,1,0,0,104,1,70.6
35,43,21,90,95,96,0,5.932570014253356,6.706213111910639,0,2,0,1,6,0,54.8
79,35,35,25,32,64,0,3.4170500857400925,6.188340011425656,1,0,1,1,12,1,40.2
23,24,13,73,33,69,4,3.4836489384230203,5.43751664981599,2,1,1,0,15,1,28.200000000000003
40,21,77,37,66,52,4,3.6709489252785126,6.04978803627024,0,0,0,0,63,1,44.2
81,51,47,96,87,59,4,6.3128109479845085,6.998834952230265,2,1,0,0,74,1,76.4
62,94,74,38,89,98,4,7.719822640840412,7.568772349752087,0,2,0,0,102,0,70.4
45,66,91,70,14,98,1,3.499791399556763,7.941920364264231,1,1,1,1,55,0,57.2
62,70,99,96,36,95,4,3.609559799706075,5.157699345897676,2,2,0,1,59,1,73.6
35,11,39,44,60,52,3,3.4727828568053587,8.640497896531151,2,1,0,1,44,0,40.8
26,92,77,60,96,98,1,5.720162608177396,4.81864969450372,0,1,0,1,76,0,72.2
18,29,28,41,57,97,0,6.832691137118875,5.2325637867689245,1,0,0,0,39,1,29.6
78,35,29,81,85,88,3,7.28950954934066,6.582671333415027,2,1,1,0,114,0,58.6
93,15,14,60,68,93,3,7.389105183443876,4.888570556269625,0,2,0,0,90,1,52.0
41,17,67,24,88,96,0,1.3730341976088125,5.574883931428076,1,2,1,0,111,0,47.4
92,74,73,91,25,72,4,5.956398533787661,5.224120880487122,0,0,1,1,56,1,73.0
83,32,13,22,61,67,4,4.6799018471679235,5.690118769155935,2,0,1,1,10,0,46.2
87,10,91,56,69,56,1,3.518097861194904,4.681258839356067,0,2,1,1,40,1,62.6
26,16,21,44,36,71,1,3.1060892713037678,4.596643083529625,0,0,1,1,75,1,31.6
27,78,69,13,53,55,0,6.950076314542667,4.006153903065592,1,2,0,0,7,1,47.0
31,40,84,20,64,74,3,3.073803130824313,5.677097184508038,2,1,0,1,87,0,50.8
40,68,13,66,64,73,4,3.3700944972188065,8.194801247718186,0,0,0,1,38,1,50.2
54,72,21,72,51,61,4,3.363872429670913,8.010795163835418,0,1,1,1,25,1,56.0
82,93,73,39,29,60,4,2.460527819410102,6.435665864113776,2,0,0,1,21,1,61.2
93,38,89,36,93,95,2,5.6270854685202005,6.769416718943916,1,2,1,0,98,0,72.8
84,50,52,28,45,85,1,6.1764964945605865,6.954258165709916,1,0,0,1,13,0,52.8
43,49,87,47,58,58,4,1.0615350453827341,7.667510640452315,1,0,1,1,82,0,51.8
72,83,97,81,42,93,1,4.849358721042283,5.605406029817411,0,0,0,0,76,0,78.0
14,72,30,31,89,58,2,3.009607367952052,6.651844161452354,2,1,0,0,18,1,43.2
52,40,59,37,17,69,3,2.961506857882571,8.999829015336447,0,2,0,0,41,0,43.0
93,35,32,30,37,52,1,3.385440187808599,7.967672977995575,1,2,0,0,103,1,43.4
24,15,81,38,27,70,2,7.09560208314297,5.992535343920103,0,1,1,1,34,1,38.0
69,15,82,48,90,76,1,7.921979741701175,8.753287544254881,2,0,0,0,40,1,62.8
40,48,73,76,40,98,4,3.650765246784872,8.823279086607954,0,2,0,1,22,0,52.4
95,51,81,22,34,57,2,4.484008200956815,6.700342486805276,0,0,0,1,80,0,51.6
13,84,55,52,49,82,3,5.652351954189271,5.129016845685486,0,2,1,1,58,1,46.6
87,55,54,28,94,95,0,3.0538692073956657,5.966879540603831,2,2,0,0,93,1,60.6
34,80,64,95,56,53,1,6.905011390191817,4.415914221030401,2,0,0,1,8,1,60.8
47,55,63,52,71,54,3,2.4327722190626675,7.108045551802604,2,0,0,1,107,1,57.6
15,69,62,89,76,74,2,6.725955250673732,8.003602247584803,2,0,0,0,26,1,63.2
18,40,80,43,46,53,0,1.2464314542164772,8.92642389380784,1,1,1,1,88,1,46.4
50,79,21,80,84,89,4,5.608534779523324,7.236314524357484,0,1,0,1,46,0,66.8
76,79,68,25,32,80,3,4.01591614391781,6.794083742371486,0,1,0,0,35,1,56.0
99,95,19,85,14,73,1,7.715288668937491,8.898551468619669,2,0,1,1,87,0,59.4
71,33,54,67,41,63,2,2.7873582838409177,8.308053997641943,0,1,0,1,41,0,48.2
43,84,28,25,72,72,1,2.346657215403132,8.461648555781924,0,2,1,1,80,0,48.4
93,34,20,79,20,52,0,1.0639280647657416,4.690663155296918,0,1,1,1,60,0,45.2
76,50,95,39,94,86,0,7.372206261768849,8.143217694592323,2,1,0,1,74,1,67.8
97,88,28,80,99,68,0,6.842411074152745,8.017967619250832,1,1,0,0,69,1,78.4
16,20,37,45,87,58,4,3.254774420054297,5.322611294872959,1,1,1,1,88,1,41.0
88,53,24,55,75,60,1,6.408313303848413,6.986649651590165,1,0,1,1,15,0,63.0
29,18,33,23,84,58,2,6.04234440639857,5.464173031421887,0,0,1,0,64,1,39.4
67,27,95,44,35,90,4,4.501001065352981,7.999870288454671,0,2,1,1,45,1,56.6
46,85,31,75,15,56,4,1.603619015058546,6.691032658792316,1,1,0,0,64,0,54.4
69,44,44,71,43,74,4,4.115115135412597,5.090179452412257,2,2,0,0,26,0,54.2
44,68,11,97,12,65,4,1.868004263624333,8.22513381843662,0,0,1,0,30,0,45.4
30,18,41,74,34,95,2,3.309913979425481,6.447952937893103,0,1,0,0,9,1,40.4
40,79,22,19,48,99,3,2.6701205461172552,7.548116738010065,0,0,1,1,10,0,39.6
27,35,23,41,87,86,3,1.389035970667366,6.10084592047818,0,2,1,1,28,1,46.6
43,89,60,79,21,85,3,2.3065254267101762,6.817687180862325,2,2,0,1,21,1,60.4
17,36,56,11,35,81,3,3.215621669621979,8.360679430024096,0,0,1,0,118,0,28.0
55,55,45,86,70,63,4,7.497370449601368,5.1767560827090735,0,1,0,0,7,0,64.2
39,85,93,38,41,52,4,3.453563414373922,4.892022020840112,2,0,0,0,28,0,55.2
17,65,72,90,85,68,0,4.306790229334823,8.299128315928815,0,2,0,0,68,1,62.8
40,82,20,55,29,84,1,2.2915866327309287,5.985098545090432,0,0,0,1,76,0,47.2
14,64,27,68,51,61,3,3.290130162610725,6.633532139800932,1,0,0,0,9,1,46.8
93,26,75,59,14,67,3,6.117049880512414,7.804830678083437,2,0,1,0,30,0,55.4
29,81,23,90,93,66,1,6.78570564340201,5.871260434192947,2,0,1,0,113,0,67.2
26,46,74,29,20,94,4,4.221328568981185,8.433942675675778,0,2,0,1,119,0,36.0
90,12,64,23,61,77,1,5.194550410352459,4.332035597299369,0,0,1,1,25,1,50.0
58,39,28,14,88,63,4,1.1484183381271973,7.789721589243158,0,2,1,0,12,1,47.4
85,13,26,11,93,91,1,5.992174040872283,8.546272748340822,1,1,0,1,116,1,45.6
11,27,55,30,80,52,1,3.042545753631222,5.772034907460746,2,1,0,0,76,0,43.6
68,61,72,85,94,98,3,4.414621830312156,5.3442229782006985,0,2,0,1,113,1,74.0
70,31,17,12,60,99,0,4.52591160941865,7.092374887742602,2,2,1,0,66,1,34.0
66,56,52,41,26,63,0,5.8811888515799495,8.15346334173133,0,2,1,0,113,1,50.2
24,20,90,36,98,92,2,1.7317318059522546,5.02356501396136,2,1,0,0,82,0,54.6
31,46,69,97,69,66,4,5.939179220621588,7.632466982446685,0,0,1,0,13,0,65.4
63,59,13,18,11,72,3,4.3051219996888435,7.116782936644226,1,1,1,0,41,1,34.8
53,78,23,40,84,98,3,2.0316279481328707,6.517229748441808,1,0,0,0,22,1,57.6
83,21,95,85,42,81,2,5.404037541724147,8.040275515752821,1,0,0,0,32,0,61.2
50,97,35,63,14,54,0,3.688743417956703,5.204325236047241,0,2,1,0,22,1,47.8
97,85,58,46,81,86,0,1.587032651812323,6.1935919355503115,0,0,0,0,100,0,76.4
79,97,70,42,91,91,3,2.3560565066510595,4.555947363182466,0,1,0,1,66,0,70.8
22,74,53,34,13,52,2,7.695095536667107,7.044326598501719,1,1,0,1,42,0,39.2
47,94,36,36,21,60,3,7.9259173599143375,8.94172542153403,0,1,1,1,20,1,45.8
51,59,10,48,52,60,4,3.009459036196363,4.595715673415212,2,2,0,0,107,0,47.0
17,91,18,76,12,76,0,7.6051923236809404,5.611879419863866,2,2,0,0,119,1,43.8
28,43,58,35,92,59,2,1.7350918688919534,6.263643831327942,1,0,0,0,74,0,46.2
19,91,41,64,49,85,0,7.863924192094019,4.682545966638068,0,2,0,0,73,1,54.8
87,43,94,93,48,62,1,3.186337132019925,8.6996692865785,0,2,1,1,96,1,72.0
27,47,39,27,65,89,2,2.776261225631377,4.208277222590888,1,0,1,0,56,1,38.0
75,70,86,81,57,94,2,6.419626243341803,6.920280293631855,0,1,0,0,67,1,74.8
74,36,82,34,30,98,3,4.9808601208092504,4.783238157109325,1,1,0,1,18,1,51.2
87,28,89,28,10,91,3,6.137597192297305,7.843835871130507,0,1,1,0,52,1,49.4
77,61,85,42,34,76,0,3.674930175489524,5.984314520014005,0,0,0,0,96,0,56.8
88,69,66,55,10,92,1,3.049420217101759,8.981033193090676,0,0,0,0,13,0,55.6
90,25,16,20,58,69,4,3.7965422083104112,6.445997533509532,1,2,0,0,90,1,37.8
68,21,40,82,60,89,0,1.3274196029169705,5.701898949247671,0,2,1,0,110,1,57.2
25,28,45,36,11,61,0,7.315982311543995,8.999786964172099,2,1,1,1,62,1,31.0
29,48,36,39,34,57,2,5.649816219776289,5.38947011498877,1,2,1,1,9,1,38.2
69,22,62,35,62,94,2,2.3053929404678275,6.2162368417081,1,0,1,0,33,1,50.0
38,35,21,93,61,70,1,1.4030320197334802,4.39474384188045,2,1,1,1,7,1,52.6
32,52,84,66,77,86,0,6.024410340070811,4.854961004166542,2,0,0,1,108,1,64.2
92,50,12,14,49,57,1,1.7990865961118598,8.13034018214676,2,1,0,1,112,1,41.4
81,66,28,87,73,96,3,2.9064904703300565,7.850478080655341,2,0,1,0,35,1,70.0
71,16,50,43,42,82,0,3.145712620196127,6.214889925985586,2,0,0,1,112,1,46.4
54,90,38,87,79,56,4,2.166517731157982,5.7451618069883015,2,2,1,0,50,1,71.6
